MinTemp,MaxTemp,Evaporation,Humidity9am,Humidity3pm,Temp9am,Temp3pm,RainToday
8,24.3,3.4,68,29,14.4,23.6,0
14,26.9,4.4,80,36,17.5,25.7,1
13.7,23.4,5.8,82,69,15.4,20.2,1
13.3,15.5,7.2,62,56,13.5,14.1,1
7.6,16.1,5.6,68,49,11.1,15.4,1
6.2,16.9,5.8,70,57,10.9,14.8,0
6.1,18.2,4.2,63,47,12.4,17.3,0
8.3,17,5.6,65,57,12.1,15.5,0
8.8,19.5,4,70,48,14.1,18.9,0
8.4,22.8,5.4,82,32,13.3,21.7,1
9.1,25.2,4.2,74,34,14.6,24,0
8.5,27.3,7.2,54,35,16.8,26,0
10.1,27.9,7.2,62,29,17,27.1,0
12.1,30.9,6.2,67,20,19.7,30.7,0
10.1,31.2,8.8,45,16,18.7,30.4,0
12.4,32.1,8.4,70,22,19.1,30.7,0
13.8,31.2,7.2,72,23,20.2,29.8,0
11.7,30,7.2,59,26,20.1,28.6,1
12.4,32.3,7.4,60,25,20.2,31.2,0
15.6,33.4,8,61,27,22.8,32,0
15.3,33.4,8.8,60,26,22.2,32.8,0
16.4,19.4,9.2,88,72,16.5,18.3,0
12.8,18.5,2.8,91,79,14,16.8,1
12,24.3,1.2,74,57,17.8,22.8,0
15.4,28.4,4.4,85,31,16.8,27.3,0
15.6,26.9,6.8,65,48,19.8,25.1,0
13.3,22.2,6.6,70,55,16.5,21.2,0
12.9,28,4.4,61,31,18.8,26.7,0
15.1,24.3,7,69,80,18.9,19.7,0
13.6,24.1,2.6,83,49,17.3,23.2,0
15.1,20.4,2.4,82,90,17,16.3,1
11.6,26.3,1.6,66,46,16.7,25.2,1
16.6,24.2,6.6,72,60,20.5,19.9,0
13.3,26.5,3.8,74,40,18.8,25.1,1
14.5,21.8,8.4,69,63,18.6,20.5,0
16.3,26.8,6,78,54,18.6,24.5,0
17.2,25.8,4.2,70,74,21.5,22.6,0
16.5,28.2,4.2,76,42,18,26.3,1
15,29.4,6.6,78,24,20.6,28.6,0
14.9,24.8,10.4,58,37,19.3,22.9,0
11.8,18.5,4.8,60,63,13.8,16.4,0
11.7,21.5,4.2,66,51,15.7,19.4,0
9.6,20.3,5,70,49,15.8,19.2,0
8.9,27.1,4.4,63,37,15.8,25,0
10.1,29.9,6.8,63,36,17.4,29.1,0
15.5,21.1,6.4,93,86,16.6,20,1
10.8,21.7,2.8,59,40,15.3,20.8,1
7.5,20.9,6.6,61,43,15.3,19.8,0
12.8,21,6.4,72,54,16.1,20,0
12.6,23.1,1.6,97,74,15.3,20.4,1
14.8,29.5,1.8,81,48,21,28.2,1
19.9,22,4.4,92,62,20.6,19.6,1
9.2,20.4,7.8,59,49,14.9,18.8,1
12.4,24.4,6.2,69,43,15,22.5,0
11.3,21.7,8.2,67,52,12.4,21,1
9.8,26.3,5.2,63,35,15.3,23.9,0
14.3,26.7,7.2,68,64,19.8,19,0
15.1,28.3,8.8,73,44,18.3,27.4,1
14.4,31.6,6.6,65,30,21.5,30.3,0
15.4,35,9.6,55,18,23.4,34.3,0
13.8,33.5,11.4,44,20,21.9,32.2,0
13.6,34.2,8.8,50,20,21.9,31.8,0
14.3,35,7.6,43,14,23,33.6,0
15.9,23.4,12.6,69,55,19.2,22.3,0
16.7,25.3,6.2,56,45,20.3,23.9,0
12.1,27.5,7.4,69,40,18.6,26.8,0
14.3,34.1,6.6,77,34,18.9,31.9,0
16.5,33.9,9,60,36,20.8,31.3,0
16.5,30.3,10,77,44,18.1,28,0
17.5,29.9,6.6,74,45,19.3,27.9,0
14.7,34.2,6.6,64,25,21.3,32.2,0
17.5,35.8,9.4,56,24,24.7,34.5,0
20.9,35.7,13.8,61,28,23.6,34,0
17,33.8,9,65,35,23,31.8,1
16,22.8,12.4,70,57,17,21.6,0
15.4,33.8,5.2,70,26,18,31.7,0
17.9,33.2,10.4,58,62,24.5,23.5,0
15.2,25.1,6.4,62,42,17.1,23.9,1
15.1,20.4,9.6,63,55,17.8,19.4,0
15.3,19.6,5,92,88,18,18.6,1
17.2,24.7,1.4,80,71,19.4,21.9,1
15.9,19.9,5.6,73,58,17.4,18.6,0
10,22.5,4.4,55,46,14.7,22.2,0
9.9,24.4,5.8,60,38,16.2,22.7,0
10.3,27.8,6.4,64,29,17,26.3,0
15.4,25.7,6.8,67,32,17.6,24.6,0
12.7,28.8,7.4,70,28,18.3,28.3,0
13.2,31.3,6.6,71,28,19.7,30.7,0
15.3,33.2,9.4,60,18,22.4,32.1,0
17.9,33.9,10.4,72,22,19.8,32.3,0
18,34.9,9.2,68,29,22.2,33.1,0
17.6,27.8,10.2,66,49,21.4,26.3,1
16,23.8,5.4,73,49,16.5,22.9,1
14.9,28.8,5.8,71,44,19.1,27,0
17.1,29.6,5.8,67,38,21.7,29.1,0
18.2,22.6,8,92,76,18.5,22.1,1
16.8,22.8,2.8,88,71,18.4,21.5,1
13.6,27.4,2.8,77,41,18.7,26.5,0
14.5,24.2,6.8,76,76,17.9,20.3,0
12.4,19.9,5.4,75,58,13.6,18.7,1
10.4,20.9,4,65,51,13.8,18.7,0
9.1,23.1,5.8,66,37,14,21.4,0
8.9,26,5,74,34,14.6,24.2,0
14.5,24.2,6.6,95,60,15.8,22.6,1
12.6,18.2,3.2,81,73,16.3,16.8,1
8.6,24.2,2.8,63,37,13.7,22,0
10.8,25.2,5.6,69,32,15,24.3,0
11.2,26.1,7.2,71,40,15.3,24.7,0
12.1,24.1,7.4,64,46,15.4,22.5,0
10.8,25.8,6.8,72,42,17.2,24.1,0
11.4,27.1,5.6,69,38,16.9,26.1,0
12,28.9,7.2,78,31,17.4,28.6,0
16.3,24.8,7.8,88,56,17.5,24,1
12.7,28.6,3.2,78,42,16.5,27.4,1
12.7,25.1,7.8,57,32,15.7,24.5,0
12,23.8,10.4,54,34,15.1,22.9,0
11.5,25.9,5.2,70,35,15.8,24.3,0
13,28.2,5,74,27,17.4,27,0
11.7,27.6,7.8,74,25,17.6,26.8,0
14.8,17.3,7.6,74,78,15.7,15.3,0
7.7,18.4,5.2,58,34,10.6,16.8,1
4.4,21.8,6.2,60,31,11.7,20,0
7.4,24.4,6.2,65,37,12.2,22.1,0
8.3,27.3,5.6,78,28,13.8,25.5,0
10.1,28.2,6,72,28,15.6,27,0
12,27.6,6,69,35,15.7,26.2,0
12.9,31.8,6,76,24,17.4,30,0
10.8,29.2,8.4,56,34,17.5,27.7,0
9.5,27.4,4.8,79,39,14,24.9,1
12.1,27.8,5,66,33,17.8,27,0
12.5,31.7,6.6,74,28,17.2,30.1,0
13.9,34.7,6.4,50,18,20.2,32.7,0
13.3,31.7,7.8,80,23,17.5,30.7,0
13.2,33.1,8.6,91,18,16.1,31.7,0
12.3,33.8,7.2,57,15,17.9,32.7,0
13.8,35.2,6.4,47,15,21.4,34.1,0
11.3,32.3,9.4,44,17,18.2,30.5,0
11.7,30.2,7.8,73,22,17.7,28.8,0
12.5,29.9,5.8,76,30,16.8,29.2,0
15.1,26.2,9,59,48,19.7,24.5,0
11.5,29.3,5.2,76,35,17.1,27.6,0
13,14.8,8.2,77,62,13.3,13.9,0
11.6,19.6,2.8,71,64,14,17.9,0
12.8,24.9,2.4,76,44,15.5,24.2,0
15.5,22.4,4.8,89,68,17.1,21.1,0
13.1,17.4,2.8,94,93,16.4,16.6,1
12.6,20.2,2.6,76,50,15.1,17.4,1
4.4,18.3,4.6,80,36,8.4,17.4,0
4.4,18.2,3.6,78,35,9.2,17.2,0
7.1,18.5,3.4,90,30,8.8,18.2,0
4.2,18.9,6.4,60,34,11.2,18.1,0
9.6,18.8,6.4,54,42,13.1,16.5,0
3.5,21.8,6,72,34,8.7,21.2,0
5.3,23.3,3.6,90,26,9.5,22.5,0
7,14.3,9.6,68,40,9.1,13.7,1
0.4,18.9,4.8,77,33,5.2,17.6,0
3.2,21.4,3.2,76,27,8.2,20.5,0
5.9,21.8,2.8,70,35,12.9,20.8,0
8.1,20.5,3.8,66,48,14.9,19.5,0
6.9,18.9,4.2,68,45,13.8,17.8,0
5.6,19.5,2.8,69,49,14.3,18.6,0
7.2,22.9,2.2,82,28,14,22.2,0
7.1,23.4,3.4,72,29,12.7,22.4,0
6.1,24.1,4.6,75,32,11.5,23.7,0
7.1,19.8,3.2,96,56,10.7,19.1,1
5.6,18,3.8,70,40,12.4,17.9,1
5.4,20.7,3.2,66,36,12.3,20.4,0
6.3,19.3,3.4,65,39,12.6,18.8,0
5.3,21,4.6,77,44,12,20.4,0
7.9,19.7,3.2,58,43,14,19.1,0
8.4,16.1,3,69,51,13.6,15.2,0
8.1,18.7,4.4,66,65,13.5,15.6,0
2.4,20.6,2.8,77,34,10.6,19.8,0
5.6,18.9,3.8,79,49,12.5,17.7,0
7.5,19,4,74,43,12.6,18.1,0
2.5,21.2,2,82,55,9.2,17.6,0
5,20.9,2,84,42,10.1,20.6,0
3.8,21.7,2.8,99,34,7.9,20.2,0
7.9,18.7,5.8,68,51,14.4,16.6,0
4.3,11.3,4.4,75,60,7.1,8.8,1
-2.1,13.8,1.8,69,40,6.3,13.2,0
-1.8,14.8,1.4,80,40,5.3,13.9,0
3.8,13.8,2.8,67,54,10.5,12.4,0
2.1,17.3,1.6,81,38,8.7,15.9,0
0.5,17.1,4,74,42,7.4,16.2,0
-0.9,16.7,2.4,76,42,6.2,15.4,0
0.4,19,3.4,76,41,7.7,18.5,0
7.5,16.8,2.8,70,53,12.5,15.4,0
8.3,17.6,3.4,73,43,12.4,16.5,0
-0.2,18.1,4.4,80,44,6.7,16.9,0
0.1,21,2.2,78,36,7.6,20.7,0
1.5,20.9,2.4,80,41,8.4,20.9,0
8.3,17.4,2,80,52,13.5,17.2,0
9.4,19.2,2.2,73,47,12.1,18.8,0
1.3,19,2.2,87,34,7.9,18.6,0
2.2,18.6,2,84,44,8.5,17.8,0
-0.4,17.9,2.4,80,40,6.8,17.7,0
4.5,16,3,88,69,10,15.2,1
7.9,12.3,1.8,68,78,11.3,7.3,0
4.3,14.1,1.6,71,53,7.9,13.3,0
-2.7,18.1,2.2,85,36,3.5,16.7,0
0.3,17,2.2,99,52,3.8,16.2,0
3.8,17.4,2.6,81,47,8,16.6,0
2.4,14.7,2.6,74,43,5.9,13.8,0
1.2,14.8,2.4,81,49,5.3,14.5,0
1.2,14.5,1.2,74,43,6.5,13.9,0
-0.3,17.5,1.6,81,48,6.2,17.2,0
4.7,18.5,2,99,50,7,17.9,1
4.9,18.1,1.2,93,55,8.9,17.7,1
1.4,16.8,1.6,91,50,6.2,16.3,0
2.2,17.5,1.2,92,45,5.5,17.3,0
-0.1,18,2,83,46,5.6,17.4,0
-0.9,18.5,2.2,84,38,4.7,18.2,0
0.6,14,2.2,99,67,4.6,13.9,0
4.6,15.7,1,85,67,9.9,15.5,0
9.8,14.4,0.6,99,86,12.1,13.6,0
10.6,15.1,0.2,78,65,11.5,13.3,1
7.8,15.1,2.2,84,65,10.3,14.8,0
4.4,16.7,1.6,74,42,9.6,16.2,0
-0.2,15.5,1.4,86,42,4.9,14.5,0
4.3,14.5,2,76,70,7.9,13,0
7.4,16.3,1.2,75,65,12.1,14.5,0
8.6,13.7,2.2,97,94,10.3,11.6,1
10.2,15,0.2,90,65,12.9,13.7,1
7.3,16.4,1.2,86,48,11.2,14.7,0
8.7,13,3.2,82,58,8.8,11.1,0
1,11.8,2.2,73,49,6.5,11,0
2.1,14.7,2.6,72,57,9,13.8,0
6.4,16.9,2.6,78,51,9.5,16,0
5.4,15.5,1.6,80,58,9.4,14.9,0
0.4,15.5,1,97,70,4,15,0
4,15.9,0.6,95,63,8.4,14.8,0
8.4,11.7,0.6,91,86,9.7,11.3,1
0.4,13.9,0.8,99,59,4.2,12.1,0
4.2,14,1.4,74,44,8.8,12.5,0
0.9,12.9,2,92,53,5.5,12.3,0
0.8,13,1.4,95,69,4.3,11.7,0
4.3,12.6,2,75,54,7.8,11.3,0
6.3,11.8,2.6,81,48,7,11.5,0
3.5,14.3,3.4,71,51,6.7,12.7,0
-1.5,14.8,2.2,90,41,2.1,14.5,0
1.2,16,1.4,84,38,6.5,14.6,0
0.5,15.4,2.4,53,68,9.7,12.9,0
5.3,11.7,3.6,73,56,6.9,11.1,1
6.6,13.1,2.8,62,53,10.6,12.3,0
-1.6,11.5,2.8,82,53,3,11.1,0
-3.1,12,1.8,80,52,5.9,10.2,0
-0.1,14.2,1.4,81,55,4.7,12.6,0
-0.6,14,1.2,86,59,3.7,13.6,0
3,11.1,1.4,99,96,6.3,8.6,0
2.9,9.5,1.4,93,72,5.5,7.4,1
-1.3,8.8,0.8,95,68,1.8,8,0
1.8,8.7,1.8,83,85,6,6.9,0
2.9,8.4,1.4,76,66,5.5,7.1,1
-2.6,11.1,1.4,87,54,0.8,9.9,0
0.5,11,1,92,69,2.8,10.7,0
2.7,16.5,0.6,93,51,6.7,15.9,0
-1.7,13.6,1.8,83,46,3.9,13.3,0
-0.9,12.8,2,99,62,2.7,12.1,0
-1.8,11.5,0.6,99,55,1.3,11,0
1.3,10.6,0.8,75,73,7.7,8.2,0
2.4,11.6,2.2,71,48,6,10.7,1
-1.1,11,1.8,92,87,2.4,8.7,0
2.3,11.6,1.8,78,56,7.6,11.2,1
-2.2,11.6,1.4,68,33,3.4,11,0
-3.5,11.2,1.6,76,48,3.6,10.1,0
-1,12.2,1.6,82,51,3.7,10.8,0
-2.1,12.9,1.2,92,25,1.4,12.3,0
-2,11.3,2.2,88,50,1.2,10.9,0
-2.3,9.7,1.4,92,66,1,7.8,0
-1.6,10.7,0.8,74,56,5.6,9.6,1
0.8,12.2,1.8,69,49,6.5,11.2,0
-2.8,12.2,2.6,84,48,2.7,11.5,0
-2.8,14.1,2.2,81,38,3,12.8,0
3,9.7,2.6,64,82,9.6,8.6,0
4.4,11.5,2.2,67,56,6.9,10.5,1
2.3,12.8,2.2,70,48,7.8,11.6,0
-2,12.3,2.4,81,60,2.6,9.1,0
-1.9,10.9,1.8,78,72,5.5,7.2,0
4.8,14.1,1.6,67,48,8.9,13.6,1
-0.6,11.1,3,89,78,3.8,5.7,0
3.1,12.5,1.4,69,62,7.6,11.3,1
-2.9,9.6,1.8,76,70,5.6,8.1,0
-3.5,7.6,2.4,92,68,3.3,5.1,0
-0.3,9.3,1.4,72,60,4.7,8.3,0
0.1,10.4,1.8,69,63,7,8.6,0
2.3,12.2,2.8,58,41,6.5,10.4,0
2.1,10.7,3.4,59,45,6.2,9.5,0
4.6,14.7,4.4,54,51,9.2,12,0
3.7,14.2,3,52,27,8.7,13.5,0
-1.3,11.6,4,59,35,4.5,10.8,0
-3.4,12.5,3,89,30,1.4,11.2,0
-5.3,13.1,2.2,94,47,0.1,12.2,0
0,14,2.4,60,36,7.9,12.4,0
2.4,14.1,3,50,27,8.6,13.2,0
-0.6,12.2,2.6,66,44,6.9,10.7,0
2.3,11.6,5.4,49,38,6.7,11.1,0
-3.7,14.4,2.6,64,28,5.2,14,0
-0.9,14.2,2.6,82,34,5.3,12.8,0
-1.5,17.3,2.8,77,23,4.8,15.8,0
-3.3,15.1,3,57,23,7.9,14.4,0
-0.1,14.7,3.4,60,43,7.2,12.3,0
-0.2,16.2,3.4,74,45,7.3,14.6,0
0.5,16.3,1.8,81,45,6.2,15.4,0
6.1,17.2,2.2,89,85,13.5,12.6,1
4.1,14.8,2.6,60,34,8.8,14.3,1
0.1,16.7,3.8,69,44,9,14.9,0
3.2,12.1,2.8,69,51,9.3,11.1,0
5.4,11.3,2.2,65,61,8.3,10.2,0
5.8,12.4,1.6,79,73,8.7,10.8,0
6.3,16.1,1.8,63,33,10,15.7,0
-0.9,16.7,2.8,84,33,6.4,15.5,0
0.2,15.5,2.4,79,37,7.2,15.3,0
-3.7,14.7,3.4,53,25,5.5,13.4,0
-2.7,15.2,4,62,35,6.3,14.9,0
-2.5,16.6,3,68,20,6,16.3,0
-0.5,21.6,5,44,27,11.9,21.5,0
9,25.5,5.6,47,31,17.5,25.1,0
13.1,19.4,8.8,71,43,16.7,18.2,1
8.7,19.7,5.2,63,33,15.6,18.5,1
3.9,13.2,6.6,53,33,7.1,12.2,1
0.7,14.1,5.6,69,43,7.4,13.7,0
1.1,18,1.6,82,36,7,17.8,0
5.1,23.3,3.6,54,30,16.4,22.4,0
7.5,23.3,6.8,46,15,18.3,21.3,0
4.7,19.5,10,42,25,14.5,18.3,0
3.2,21.9,6.8,51,50,15.9,21,0
7.8,16.2,6.4,73,44,8,14.3,1
2.4,17.3,2.2,67,33,10.7,16.5,0
3.2,18.7,2.6,70,32,11,18.1,0
2.5,20.9,3.6,48,35,15.4,20,0
6.5,25.7,4.8,62,25,15.9,24.7,0
14.4,24.3,9.4,36,25,20.4,23,0
4.9,18.9,9.6,41,32,14.9,16,0
2.3,16.8,4.8,52,34,9.8,16.3,0
1.4,20.6,5.4,56,16,11.3,19.5,0
5.6,27.6,5.2,44,21,19,26.7,0
16.8,28.9,10,44,22,22.5,28.4,0
14.4,20.7,9.4,94,65,14.5,19.3,1
10.3,21.3,4.2,79,46,11.7,19.8,1
11.2,18,4.8,65,40,12.8,16.2,0
0.3,16,5.4,68,45,6.9,14.6,1
0.5,17.9,5.8,72,33,7.2,16.6,0
0.5,20,6.2,69,22,8.1,18.8,0
4.6,22,4.4,82,25,10,21.4,0
8.2,22.4,5.4,70,30,13.6,20.6,0
4.5,23.9,4.8,67,27,12.6,22.3,0
6.7,26.1,6.2,56,47,16.3,23.2,0
11.9,21.1,6.6,82,61,14.5,19.4,1
9.2,19.6,3.4,71,42,11.6,18.4,0
4.4,21,4.2,73,30,9.6,19.2,0
5,24.1,6.2,73,34,11.6,21.9,0
6.7,24.7,5.4,80,31,12.7,23.7,0
8.3,28.5,5.8,66,30,16.8,27.4,0
11.3,27.4,7.6,60,20,16.4,26.3,0
9,20.6,9,54,28,11.4,18.5,0
3.4,15,4.8,43,24,8.3,14.3,0
3.2,18,7.4,47,25,9.1,16.3,0
0.9,20.7,5.4,71,29,9.4,19.1,0
3.3,25.5,5.2,57,16,12,24.8,0
7.9,26.1,6.8,45,20,16.3,25.9,0
9,30.7,7.6,38,15,20.4,30,0
7.1,28.4,11.6,45,22,17.2,28.2,0
12.5,19.9,8.4,63,47,14.5,18.3,0
12.5,26.9,5,69,39,15.8,25.9,0
12.3,30.2,6,43,13,23.8,28.6,0